Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS-User auth (negative scenarios),Chrome 71.0.3578.98,execution of negative scenarios during user authentication process,2018-12-14 14:50:35,2018-12-14 14:54:12,3m - 36.202s,PASSED
,,,,,,
Test Cases/User Authentication/TC-Customer registration validation(phone is reuqired),Chrome 71.0.3578.98,verifying that a customer phone number is required during registration process in masoko.com,2018-12-14 14:50:36,2018-12-14 14:52:03,1m - 27.123s,PASSED
openBrowser(masoko),Chrome 71.0.3578.98,,2018-12-14 14:50:36,2018-12-14 14:51:41,1m - 5.053s,PASSED
"click(findTestObject(""Home Page/Register""))",Chrome 71.0.3578.98,,2018-12-14 14:51:41,2018-12-14 14:51:55,13.199s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_firstname""), findTestData(""Masoko data/TD -Masoko registration"").getValue(1, 1))",Chrome 71.0.3578.98,,2018-12-14 14:51:55,2018-12-14 14:51:55,0.459s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_lastname""), findTestData(""Masoko data/TD -Masoko registration"").getValue(2, 1))",Chrome 71.0.3578.98,,2018-12-14 14:51:55,2018-12-14 14:51:55,0.183s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_mobile""), """")",Chrome 71.0.3578.98,,2018-12-14 14:51:55,2018-12-14 14:51:55,0.140s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_email""), findTestData(""Masoko data/TD -Masoko registration"").getValue(4, 1))",Chrome 71.0.3578.98,,2018-12-14 14:51:55,2018-12-14 14:51:56,0.226s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_password""), findTestData(""Masoko data/TD -Masoko registration"").getValue(5, 1))",Chrome 71.0.3578.98,,2018-12-14 14:51:56,2018-12-14 14:51:56,0.242s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_password_confirmation""), findTestData(""Masoko data/TD -Masoko registration"").getValue(6, 1))",Chrome 71.0.3578.98,,2018-12-14 14:51:56,2018-12-14 14:51:56,0.191s,PASSED
"click(findTestObject(""Create New Customer Account Page/button_Create an Account""))",Chrome 71.0.3578.98,,2018-12-14 14:51:56,2018-12-14 14:52:02,6.128s,PASSED
"verifyElementPresent(findTestObject(""Create New Customer Account Page/empty_phone_field error""), 2)",Chrome 71.0.3578.98,,2018-12-14 14:52:02,2018-12-14 14:52:02,0.058s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-14 14:52:02,2018-12-14 14:52:03,0.776s,PASSED
,,,,,,
Test Cases/User Authentication/TC- Login validation(wrong username or password),Chrome 71.0.3578.98,testing  for validation of user login using wrong email or pasword,2018-12-14 14:52:03,2018-12-14 14:53:08,1m - 4.644s,PASSED
openBrowser(masoko),Chrome 71.0.3578.98,,2018-12-14 14:52:03,2018-12-14 14:52:43,40.052s,PASSED
"click(findTestObject(""Home Page/Sign In ""))",Chrome 71.0.3578.98,,2018-12-14 14:52:43,2018-12-14 14:52:54,10.480s,PASSED
"setText(findTestObject(""Customer Login Page/input_username""), findTestData(""Masoko data/TD- Masoko login"").getValue(1, 3))",Chrome 71.0.3578.98,,2018-12-14 14:52:54,2018-12-14 14:52:54,0.315s,PASSED
"setText(findTestObject(""Customer Login Page/input_password""), findTestData(""Masoko data/TD- Masoko login"").getValue(2, 3))",Chrome 71.0.3578.98,,2018-12-14 14:52:54,2018-12-14 14:52:54,0.174s,PASSED
"click(findTestObject(""Customer Login Page/button_Sign In""))",Chrome 71.0.3578.98,,2018-12-14 14:52:54,2018-12-14 14:53:06,11.814s,PASSED
"verifyElementPresent(findTestObject(""Customer Login Page/error message""), 2)",Chrome 71.0.3578.98,,2018-12-14 14:53:06,2018-12-14 14:53:06,0.002s,NOT_RUN
closeBrowser(),Chrome 71.0.3578.98,,2018-12-14 14:53:06,2018-12-14 14:53:08,1.522s,PASSED
,,,,,,
Test Cases/User Authentication/TC-Login validation(empty fields),Chrome 71.0.3578.98,"testing for empty fields while logging in
",2018-12-14 14:53:08,2018-12-14 14:54:12,1m - 3.907s,PASSED
openBrowser(masoko),Chrome 71.0.3578.98,,2018-12-14 14:53:08,2018-12-14 14:53:53,44.560s,PASSED
"click(findTestObject(""Home Page/Sign In ""))",Chrome 71.0.3578.98,,2018-12-14 14:53:53,2018-12-14 14:54:05,12.138s,PASSED
"setText(findTestObject(""Customer Login Page/input_username""), findTestData(""Masoko data/TD- Masoko login"").getValue(1, 1))",Chrome 71.0.3578.98,,2018-12-14 14:54:05,2018-12-14 14:54:05,0.267s,PASSED
"setText(findTestObject(""Customer Login Page/input_password""), """")",Chrome 71.0.3578.98,,2018-12-14 14:54:05,2018-12-14 14:54:05,0.126s,PASSED
"click(findTestObject(""Customer Login Page/button_Sign In""))",Chrome 71.0.3578.98,,2018-12-14 14:54:05,2018-12-14 14:54:10,5.185s,PASSED
"verifyElementPresent(findTestObject(""Customer Login Page/empty_field error""), 0)",Chrome 71.0.3578.98,,2018-12-14 14:54:10,2018-12-14 14:54:10,0.048s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-14 14:54:10,2018-12-14 14:54:12,1.290s,PASSED
